"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"下午 01:34:40.8373585","chrome.exe","40424","Process Profiling","","SUCCESS","User Time: 19.0000000 seconds, Kernel Time: 14.6250000 seconds, Private Bytes: 262,995,968, Working Set: 317,435,904"
"下午 01:34:40.8373592","chrome.exe","18148","Process Profiling","","SUCCESS","User Time: 0.0156250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 8,372,224, Working Set: 11,018,240"
"下午 01:34:40.8373599","chrome.exe","38928","Process Profiling","","SUCCESS","User Time: 15.4843750 seconds, Kernel Time: 4.0937500 seconds, Private Bytes: 436,031,488, Working Set: 417,824,768"
"下午 01:34:40.8373606","chrome.exe","35816","Process Profiling","","SUCCESS","User Time: 2.5156250 seconds, Kernel Time: 1.2031250 seconds, Private Bytes: 30,658,560, Working Set: 58,712,064"
"下午 01:34:40.8373613","chrome.exe","26604","Process Profiling","","SUCCESS","User Time: 0.4218750 seconds, Kernel Time: 0.1562500 seconds, Private Bytes: 12,218,368, Working Set: 22,372,352"
"下午 01:34:40.8373620","chrome.exe","44020","Process Profiling","","SUCCESS","User Time: 4.7031250 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 204,976,128, Working Set: 152,141,824"
"下午 01:34:40.8373633","chrome.exe","29924","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 27,725,824, Working Set: 46,764,032"
"下午 01:34:40.8373640","chrome.exe","10952","Process Profiling","","SUCCESS","User Time: 0.0468750 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 18,423,808, Working Set: 41,857,024"
"下午 01:34:40.8373666","chrome.exe","1796","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 20,783,104, Working Set: 41,267,200"
"下午 01:34:40.8373673","chrome.exe","38824","Process Profiling","","SUCCESS","User Time: 2.6093750 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 52,854,784, Working Set: 84,537,344"
"下午 01:34:40.8373680","chrome.exe","79408","Process Profiling","","SUCCESS","User Time: 0.2031250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 21,868,544, Working Set: 41,971,712"
"下午 01:34:40.8373687","chrome.exe","78676","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 18,661,376, Working Set: 41,644,032"
"下午 01:34:40.8373694","chrome.exe","45012","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 20,508,672, Working Set: 43,884,544"
"下午 01:34:40.8373701","chrome.exe","78864","Process Profiling","","SUCCESS","User Time: 0.1875000 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 21,114,880, Working Set: 53,137,408"
"下午 01:34:40.8373707","chrome.exe","49764","Process Profiling","","SUCCESS","User Time: 0.0937500 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 19,587,072, Working Set: 42,954,752"
"下午 01:34:40.8373797","chrome.exe","63820","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0781250 seconds, Private Bytes: 13,705,216, Working Set: 21,389,312"
"下午 01:34:40.8373803","chrome.exe","119516","Process Profiling","","SUCCESS","User Time: 0.1406250 seconds, Kernel Time: 0.0937500 seconds, Private Bytes: 62,291,968, Working Set: 48,508,928"
"下午 01:34:40.8373810","chrome.exe","114700","Process Profiling","","SUCCESS","User Time: 7.7187500 seconds, Kernel Time: 0.8593750 seconds, Private Bytes: 173,867,008, Working Set: 235,593,728"
"下午 01:34:40.8374039","chrome.exe","51472","Process Profiling","","SUCCESS","User Time: 0.2968750 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 52,670,464, Working Set: 93,356,032"
"下午 01:34:40.8374223","chrome.exe","23608","Process Profiling","","SUCCESS","User Time: 1.3906250 seconds, Kernel Time: 0.1718750 seconds, Private Bytes: 101,122,048, Working Set: 178,536,448"
"下午 01:34:40.8374304","chrome.exe","10516","Process Profiling","","SUCCESS","User Time: 20.6718750 seconds, Kernel Time: 0.9375000 seconds, Private Bytes: 331,853,824, Working Set: 382,091,264"
"下午 01:34:40.8374310","chrome.exe","54536","Process Profiling","","SUCCESS","User Time: 0.4375000 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 68,829,184, Working Set: 140,627,968"
"下午 01:34:40.8374328","chrome.exe","56444","Process Profiling","","SUCCESS","User Time: 0.4062500 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 91,648,000, Working Set: 165,359,616"
"下午 01:34:40.8374390","chrome.exe","82264","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 13,922,304, Working Set: 30,437,376"
"下午 01:34:40.8374396","chrome.exe","77024","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 28,057,600, Working Set: 58,556,416"
"下午 01:34:40.8374401","chrome.exe","39324","Process Profiling","","SUCCESS","User Time: 0.5156250 seconds, Kernel Time: 0.1250000 seconds, Private Bytes: 139,292,672, Working Set: 176,046,080"
